category_name,sales_exposure,claims,units_sold,claim_rate_pct,difference_from_portfolio_pct_points,relative_risk_index,group_type
Smartphone,151636,4434,834006,2.924107731673218,0.04004697412659208,15.594478897610681,category_name
Audio,128731,3768,707354,2.927033892380235,0.042973134833609095,15.418375117137526,category_name
Smart Speaker,23565,695,130430,2.9492892000848716,0.06522844253824589,10.013150206439581,category_name
Laptop,116369,3384,640336,2.907990959791697,0.023930202245071364,8.163286149625895,category_name
Subscription Service,81561,2374,447062,2.9107048712006964,0.02664411365407071,7.60926218616737,category_name
Tablet,117142,3397,645303,2.8998992675556163,0.015838510008990614,5.420890573639548,category_name
Desktop,116812,3372,642140,2.8866897236585283,0.002628966111902553,0.8985220056523665,category_name
Wearable,105521,2986,582445,2.8297684821030886,-0.0542922754435371,-17.63630061574486,category_name
Accessories,163849,4650,899734,2.8379788707895686,-0.046081886757057156,-18.653148594793553,category_name
Streaming Device,35014,940,192534,2.684640429542469,-0.19942032800415666,-37.3155880469019,category_name
