sale_month,sales_exposure,claims,claim_rate_pct,prev_claim_rate_pct,month_over_month_change_pct
2020-01,17997,480,2.6671111851975327,,
2020-02,16822,474,2.817738675543931,2.6671111851975327,5.647589466175269
2020-03,18199,529,2.9067531183032034,2.817738675543931,3.1590737470389914
2020-04,17548,485,2.7638477319352632,2.9067531183032034,-4.916323490567378
2020-05,18120,545,3.007726269315673,2.7638477319352632,8.823877472064813
2020-06,17690,491,2.7755794234030526,3.007726269315673,-7.718350179700339
2020-07,18285,530,2.898550724637681,2.7755794234030526,4.430473154461463
2020-08,18147,509,2.8048713285942584,2.898550724637681,-3.2319391634980863
2020-09,17569,521,2.965450509420001,2.8048713285942584,5.7250105981232835
2020-10,18001,547,3.0387200711071607,2.965450509420001,2.470773376740324
2020-11,17649,511,2.8953481783670463,3.0387200711071607,-4.718167168582815
2020-12,17772,510,2.8696826468602294,2.8953481783670463,-0.8864402457217421
2021-01,18118,502,2.7707252456120988,2.8696826468602294,-3.4483743823172133
2021-02,16370,486,2.9688454489920586,2.7707252456120988,7.150481762625721
2021-03,18312,541,2.954346876365225,2.9688454489920586,-0.4883572714017829
2021-04,17644,495,2.8054862842892767,2.954346876365225,-5.038697157291617
2021-05,18312,538,2.9379641764962865,2.8054862842892767,4.72210086888986
2021-06,17686,482,2.7253194617211354,2.9379641764962865,-7.237825310339345
2021-07,17988,532,2.9575272403824773,2.7253194617211354,8.520387496689818
2021-08,18113,526,2.903991608237178,2.9575272403824773,-1.8101484041910607
2021-09,17346,497,2.865213882163035,2.903991608237178,-1.3353250045265281
2021-10,17899,514,2.8716688083133137,2.865213882163035,0.22528601409001472
2021-11,17557,525,2.990260295039016,2.8716688083133137,4.129706266348921
2021-12,17930,464,2.5878416062465144,2.990260295039016,-13.457647465009432
2022-01,18396,555,3.0169602087410303,2.5878416062465144,16.582104617945408
2022-02,16630,449,2.69993986770896,3.0169602087410303,-10.507939087614359
2022-03,18465,570,3.086921202274574,2.69993986770896,14.332961233465833
2022-04,17471,525,3.0049796806135882,3.086921202274574,-2.654474030649295
2022-05,18273,519,2.8402561155803645,3.0049796806135882,-5.481686485134193
2022-06,17560,484,2.75626423690205,2.8402561155803645,-2.9571938325411264
2022-07,18007,551,3.0599211417781973,2.75626423690205,11.016973656250311
2022-08,18056,495,2.7414709791758973,3.0599211417781973,-10.407136257676255
2022-09,17274,533,3.085562116475628,2.7414709791758973,12.551332474917052
2022-10,18114,560,3.0915314121673845,3.085562116475628,0.19345893767241726
2022-11,17702,490,2.7680488080442887,3.0915314121673845,-10.463506948367424
2022-12,18183,516,2.8378155419897704,2.7680488080442887,2.5204300495977905
2023-01,18006,558,3.0989670109963345,2.8378155419897704,9.20255263749294
2023-02,16205,457,2.820117247763036,3.0989670109963345,-8.998152037237944
2023-03,18165,543,2.989265070189926,2.820117247763036,5.997900355421773
2023-04,17654,537,3.0418035572674746,2.989265070189926,1.7575720400804278
2023-05,18049,506,2.803479417142224,3.0418035572674746,-7.834961582441662
2023-06,17529,485,2.76684351645844,2.803479417142224,-1.3068011293312587
2023-07,18105,549,3.032311516155758,2.76684351645844,9.594615601431517
2023-08,18093,495,2.735864699054883,3.032311516155758,-9.776265252479673
2023-09,17600,480,2.727272727272727,2.735864699054883,-0.31404958677686906
2023-10,18177,531,2.9212741376464764,2.727272727272727,7.113385047037475
2023-11,17794,457,2.5682814431830954,2.9212741376464764,-12.083518281093928
2023-12,18076,511,2.826952865678247,2.5682814431830954,10.071770879384534
2024-01,18177,526,2.893766848214777,2.826952865678247,2.363462912583779
2024-02,16988,472,2.7784318342359313,2.893766848214777,-3.985636024892541
2024-03,18287,562,3.0732214141193195,2.7784318342359313,10.609926659023301
2024-04,17617,492,2.7927569960833285,3.0732214141193195,-9.126072620327701
2024-05,17849,527,2.9525463611406804,2.7927569960833285,5.721563504502781
2024-06,17305,515,2.9760184917653856,2.9525463611406804,0.7949792400765907
2024-07,18069,499,2.7616359510764292,2.9760184917653856,-7.20366964392697
2024-08,18111,551,3.042349953067197,2.7616359510764292,10.164772148238841
2024-09,17724,528,2.9790115098171968,3.042349953067197,-2.081892097460531
2024-10,18433,535,2.90240329843216,2.9790115098171968,-2.5715983685386226
2024-11,6982,203,2.907476367802922,2.90240329843216,0.17478857516122284
