product_name,sales_exposure,claims,units_sold,claim_rate_pct,difference_from_portfolio_pct_points,relative_risk_index,group_type
MacBook Pro (Touch Bar),11566,381,63691,3.294137990662286,0.41007723311566036,44.1018951648062,product_name
iPhone 13 Pro,11551,367,63711,3.177214094017834,0.29315333647120845,31.506824462030636,product_name
Beats Fit Pro,11706,370,64410,3.1607722535451903,0.2767114959985646,29.93859823238124,product_name
Apple TV+,11647,368,64103,3.1596119172319055,0.27555115968527977,29.73783044138649,product_name
Smart Cover for iPad,11808,370,64656,3.1334688346883466,0.24940807714172086,27.101834340966832,product_name
iPhone 13 Pro Max,11888,372,65465,3.1292059219380883,0.2451451643914626,26.728693393285443,product_name
MagSafe Charger,11693,366,63890,3.130077824339348,0.24601706679272217,26.60285277772809,product_name
Apple Watch Series 9,11806,367,65481,3.108588853125529,0.2245280955789033,24.396194221739535,product_name
Beats Studio Buds,11642,361,63721,3.1008417797629275,0.2167810222163018,23.390260429661552,product_name
iPad Air (4th Generation),11666,361,64429,3.0944625407166124,0.2104017831699867,22.725340663512846,product_name
Apple One,11473,355,62924,3.094221215026584,0.21016045747995848,22.510726008530945,product_name
HomePod,11849,365,65623,3.080428728162714,0.19636797061608835,21.375264705825405,product_name
iPhone 14,11673,359,64280,3.075473314486422,0.1914125569397962,20.68053013480881,product_name
iPad Pro (M1),11784,362,64827,3.071961982348948,0.1879012248023222,20.39745472860758,product_name
iPad mini (6th Generation),11794,362,65026,3.0693573003221974,0.18529654277557173,20.123238669991668,product_name
Mac Pro (Rack),11683,357,64439,3.055721989215099,0.17166123166847314,18.554506706568095,product_name
HomePod (2nd Generation),11760,359,65173,3.052721088435374,0.16866033088874843,18.29012227554274,product_name
Magic Mouse,11686,356,64417,3.0463802841006333,0.1623195265540076,17.547033623851668,product_name
Mac Mini,11798,359,64650,3.0428886251907103,0.15882786764408463,17.251660430035372,product_name
MacBook Air (Retina),11674,355,63947,3.040945691279767,0.15688493373314127,16.950834478468785,product_name
iPad Pro 12.9-inch,11862,358,65311,3.0180408025628056,0.13398004501617988,14.592143074635093,product_name
